time	pH		Temp/°C		Cond/µS	
574		5.671		21.6		-5012	
575		5.67		21.6		-5012	
576		5.669		21.6		-5012	
577		5.667		21.5		-5012	
578		5.665		21.5		-5012	
579		5.663		21.6		-5000	
580		5.661		21.6		-5012	
581		5.66		21.6		-5024	
582		5.659		21.6		-5012	
583		5.657		21.6		-5012	
584		5.655		21.6		-5012	
585		5.654		21.6		-5012	
586		5.653		21.6		-5012	
587		5.651		21.6		-5024	
588		5.65		21.6		-5000	
589		5.649		21.6		-5012	
590		5.648		21.5		-5000	
591		5.646		21.6		-4987	
592		5.645		21.6		-5012	
593		5.644		21.6		-5012	
594		5.642		21.5		-5012	
595		5.64		21.6		-5012	
596		5.64		21.6		-5024	
597		5.638		21.5		-5000	
598		5.637		21.5		-5000	
599		5.636		21.6		-5012	
600		5.635		21.6		-5012	
601		5.634		21.6		-5000	
602		5.632		21.6		-5012	
603		5.631		21.5		-5012	
604		5.63		21.6		-5024	
605		5.629		21.5		-5000	
606		5.628		21.6		-5012	
607		5.626		21.6		-5024	
608		5.626		21.5		-5000	
609		5.625		21.6		-5000	
610		5.624		21.6		-5012	
611		5.623		21.6		-5012	
612		5.621		21.5		-5000	
613		5.62		21.6		-5012	
614		5.619		21.6		-5012	
615		5.618		21.5		-5012	
616		5.617		21.6		-5000	
617		5.616		21.6		-5012	
618		5.615		21.6		-5012	
619		5.614		21.6		-5012	
620		5.613		21.6		-5000	
621		5.613		21.6		-5012	
622		5.611		21.6		-5012	
623		5.61		21.6		-5012	
624		5.609		21.6		-5024	
625		5.609		21.7		-5000	
626		5.607		21.6		-5000	
627		5.607		21.6		-5012	
628		5.606		21.6		-5000	
629		5.605		21.6		-5000	
630		5.605		21.5		-5012	
631		5.603		21.6		-5012	
632		5.603		21.6		-5012	
633		5.602		21.6		-4987	
634		5.602		21.6		-5000	
635		5.601		21.5		-5000	
636		5.6		21.6		-5000	
637		5.6		21.6		-5012	
638		5.599		21.6		-5012	
639		5.598		21.6		-5024	
640		5.598		21.6		-5000	
641		5.596		21.6		-5012	
642		5.596		21.6		-5012	
643		5.595		21.6		-5012	
644		5.594		21.6		-5012	
645		5.594		21.7		-5012	
646		5.593		21.6		-5012	
647		5.592		21.6		-4987	
648		5.592		21.6		-5012	
649		5.59		21.5		-5000	
650		5.589		21.6		-4987	
651		5.588		21.6		-5024	
652		5.586		21.6		-5000	
653		5.585		21.6		-5000	
654		5.584		21.7		-4987	
655		5.583		21.7		-5024	
656		5.582		21.6		-5012	
657		5.581		21.6		-5000	
658		5.58		21.6		-5012	
659		5.58		21.6		-5012	
660		5.579		21.6		-5012	
661		5.579		21.6		-5012	
662		5.578		21.6		-5024	
663		5.578		21.7		-4987	
664		5.577		21.6		-5012	
665		5.577		21.7		-5000	
666		5.577		21.6		-5012	
667		5.576		21.6		-5024	
668		5.576		21.7		-5000	
669		5.576		21.7		-5012	
670		5.575		21.6		-5012	
671		5.575		21.6		-5012	
672		5.575		21.6		-5012	
673		5.575		21.6		-5012	
674		5.574		21.6		-5012	
675		5.574		21.7		-5000	
676		5.574		21.6		-5012	
677		5.573		21.6		-5012	
678		5.573		21.6		-5024	
679		5.573		21.6		-5000	
