Ns changes	time/s	I/mA	Capacity/mA.h
0	433.7616	1.13926411	0.298432461
0	434.7616	1.13277006	0.2987474
0	435.7616	1.12665808	0.299061459
0	436.7616	1.1239841	0.299374654
0	437.7616	1.11367011	0.299686928
0	438.7616	1.12589407	0.299998345
0	439.7616	1.11634409	0.300308916
0	440.7616	1.11558008	0.300618577
0	441.7616	1.11137807	0.300927321
0	442.7616	1.10717607	0.301235227
0	443.7616	1.11176014	0.301542207
0	444.7616	1.10908604	0.301848227
0	445.7616	1.10259211	0.302153364
0	446.7616	1.09609795	0.302457586
0	447.7616	1.08998609	0.302760931
0	448.7616	1.08272815	0.303063387
0	449.7616	1.08311009	0.30336496
0	450.7616	1.08540213	0.303665709
0	451.7616	1.07890797	0.30396571
0	452.7616	1.07203209	0.304264805
0	453.7616	1.07432401	0.304563122
0	454.7616	1.0685941	0.304860562
0	455.7616	1.05942607	0.305157163
0	456.7616	1.06439209	0.305452952
0	457.7616	1.06401014	0.305747884
0	458.7616	1.05446005	0.306041977
0	459.7616	1.05293202	0.306335211
0	460.7616	1.05255008	0.306627553
0	461.7616	1.0464381	0.306919121
0	462.7616	1.04032612	0.307209844
0	463.7616	1.03879809	0.307499668
0	464.7616	1.036888	0.307788691
0	465.7616	1.03841603	0.308076851
0	466.7616	1.03841603	0.308364252
0	467.7616	1.03650606	0.30865081
0	468.7616	1.02504611	0.308936554
0	469.7616	1.02733815	0.309221466
0	470.7616	1.02160811	0.309505542
0	471.7616	1.0208441	0.309788847
0	472.7616	1.01435006	0.310071364
0	473.7616	1.01091206	0.310353003
0	474.7616	1.01129413	0.310633775
0	475.7616	0.998688102	0.310913755
0	476.7616	1.00098002	0.311192857
0	477.7616	0.997924149	0.311471187
0	478.7616	0.997160077	0.311748794
0	479.7616	0.998688102	0.312025575
0	480.7616	0.989520133	0.312301505
0	481.7616	0.986846089	0.312576606
0	482.7616	0.985318184	0.312850888
0	483.7616	0.985318065	0.313124316
0	484.7616	0.979206145	0.313396881
0	485.7616	0.97271204	0.313668615
0	486.7616	0.977296174	0.31393957
0	487.7616	0.966218054	0.31420968
0	488.7616	0.971184015	0.314478975
0	489.7616	0.959724128	0.314747572
0	490.7616	0.96469003	0.315015375
0	491.7616	0.957432032	0.315282417
0	492.7616	0.958196044	0.315548724
0	493.7616	0.95246613	0.315814322
0	494.7616	0.954376101	0.316079184
0	495.7616	0.949410141	0.316343308
0	496.7616	0.952848136	0.31660663
0	497.7616	0.943680048	0.316869145
0	498.7616	0.94444418	0.317130859
0	499.7616	0.938714147	0.317391763
0	500.7616	0.935276091	0.317651855
0	501.7616	0.939478159	0.317911187
0	502.7616	0.927254081	0.31816971
0	503.7616	0.927254081	0.318427489
0	504.7616	0.920760095	0.318684441
0	505.7616	0.920760095	0.318940699
0	506.7616	0.923816085	0.319196171
0	507.7616	0.92228806	0.319450888
0	508.7616	0.908536077	0.319704909
0	509.7616	0.903570116	0.319958109
0	510.7616	0.910446048	0.3202106
0	511.7616	0.904334128	0.320462363
0	512.7616	0.899368048	0.320713415
0	513.7616	0.906244099	0.320963731
0	514.7616	0.892492115	0.321213319
0	515.7616	0.896311998	0.321462135
0	516.7616	0.901660144	0.321710239
0	517.7616	0.887526095	0.321957611
0	518.7616	0.884470105	0.322204277
0	519.7616	0.88599807	0.322450179
0	520.7616	0.885616064	0.322695368
0	521.7616	0.879886031	0.322939902
0	522.7616	0.87797606	0.323183747
0	523.7616	0.876448035	0.323426845
0	524.7616	0.869572163	0.323669241
0	525.7616	0.865752101	0.323910937
0	526.7616	0.873392165	0.324151879
0	527.7616	0.859258115	0.324392148
0	528.7616	0.861550033	0.324631663
0	529.7616	0.852382064	0.324870419
0	530.7616	0.852382064	0.325108548
0	531.7616	0.85276413	0.32534597
0	532.7616	0.852382064	0.325582698
0	533.7616	0.853146076	0.325818732
0	534.7616	0.845506012	0.326054123
0	535.7616	0.846652031	0.326288799
0	536.7616	0.842450082	0.326522779
0	537.7616	0.836720109	0.326756073
0	538.7616	0.833282053	0.32698865
0	539.7616	0.830990016	0.327220546
0	540.7616	0.829080045	0.327451731
0	541.7616	0.834810078	0.327682203
0	542.7616	0.829844058	0.327911997
0	543.7616	0.821440101	0.328141142
0	544.7616	0.824496031	0.328369597
0	545.7616	0.81953001	0.328597416
0	546.7616	0.817238033	0.328824601
0	547.7616	0.811890066	0.329051077
0	548.7616	0.812654078	0.329276977
0	549.7616	0.811508	0.329502217
0	550.7616	0.809216022	0.329726832
0	551.7616	0.805778027	0.329950752
0	552.7616	0.804632068	0.330173943
0	553.7616	0.803104043	0.330396466
0	554.7616	0.793554068	0.33061842
0	555.7616	0.80043	0.330839791
0	556.7616	0.79431808	0.33106049
0	557.7616	0.795082092	0.331280508
0	558.7616	0.786678016	0.331499908
0	559.7616	0.784768045	0.331718686
0	560.7616	0.786678016	0.331936841
0	561.7616	0.782094061	0.332154406
0	562.7616	0.783621967	0.332371287
0	563.7616	0.772544026	0.332587594
0	564.7616	0.774836063	0.332803234
0	565.7616	0.775982082	0.333018291
0	566.7616	0.776364088	0.333232772
0	567.7616	0.767960072	0.333446616
0	568.7616	0.761848092	0.333659893
0	569.7616	0.767196059	0.333872677
0	570.7616	0.759938061	0.334084824
0	571.7616	0.760320067	0.334296332
0	572.7616	0.754971981	0.334507403
0	573.7616	0.754972041	0.334717916
